jet0Pt,jet0Eta,jet0Phi,jet1Pt,jet1Eta,jet1Phi,DiTauPt,DiTauEta,DiTauPhi,SignedDeltaPhi,Weight
164.993,-1.86898,0.755093,73.7746,2.69583,1.88531,139.106,1.33675,-2.01816,1.13022,0.0128315
383.947,2.55909,3.05355,307.304,-1.03809,-1.02864,289.988,-0.151066,0.770135,-2.201,-0.0128315
121.566,3.16553,-2.33789,73.8624,-1.38982,-1.09749,103.832,1.15146,1.19457,-1.24039,-0.0128315
204.918,-1.54525,-0.573798,33.1814,2.92856,-0.75609,87.5116,0.129328,2.12141,-0.182292,-0.0128315
115.199,2.02953,-2.68855,71.9248,-2.93534,-0.571469,80.564,-2.66199,1.2542,-2.11708,-0.0128315
117.811,2.23409,-1.83497,105.788,-2.20309,-3.09461,82.0907,-0.966102,0.640656,1.25964,0.0128315
380.066,2.10187,-0.586309,245.783,-1.32509,2.04347,137.599,1.06706,2.42671,-2.62978,-0.0128315
196.54,1.72782,1.82941,88.7068,-2.46896,-0.629814,82.5287,-2.28543,-1.87813,2.45922,0.0128315
188.214,0.447288,2.23004,55.5164,-3.23013,2.28878,277.115,-0.321233,-0.926002,-0.0587347,0.0128315
238.303,-1.60335,3.11208,95.5264,2.40459,1.0021,166.257,1.07796,-0.376105,-2.10999,-0.0128315
193.22,-2.53707,-1.24884,44.6679,3.60092,-3.08955,67.1106,0.0781892,1.68382,-1.84071,-0.0128315
91.2959,-2.80199,-1.71466,79.9866,3.7592,-3.03003,66.4164,0.26435,0.547092,-1.31537,-0.0128315
119.574,1.04615,-1.63234,45.7876,-4.17003,2.82878,94.6518,-2.12906,0.764136,1.82207,0.0128315
245.997,1.03959,-0.542809,48.3737,-4.70181,-2.23041,205.96,-1.28546,2.40969,1.6876,0.0128315
130.82,-1.35252,0.413182,111.505,2.58102,-0.90083,122.297,0.388452,2.85778,-1.31401,-0.0128315
142.295,-0.374396,-0.62029,35.8928,3.16321,-2.83856,43.2391,1.40602,2.5339,-2.21827,-0.0128315
74.9122,2.71025,1.5547,50.8259,-3.163,0.196505,56.3401,0.00461499,-2.282,1.35819,0.0128315
98.3311,3.1805,2.63737,71.5503,-0.122483,1.27666,64.4839,0.956959,-1.20401,1.36072,0.0128315
102.463,-1.96347,-2.91225,50.2923,1.4593,1.13469,47.0038,-0.00034328,-0.105342,-2.23624,-0.0128315
182.55,2.91279,-1.7212,94.9683,-1.39862,2.31449,151.898,-1.0408,0.792791,2.2475,0.0128315
172.04,3.12978,0.876954,103.096,-1.45779,1.7352,211.784,1.41381,-2.24469,-0.858242,-0.0128315
98.0986,-3.34635,-2.19191,45.7703,1.24555,-2.5254,69.3711,-1.00388,0.669059,-0.333487,-0.0128315
148.332,-2.33543,0.158648,98.6214,1.35811,-0.603485,109.388,-0.834142,2.75909,-0.762133,-0.0128315
204.215,2.05964,-1.80318,48.2581,-2.84511,-0.0574462,95.8179,0.929017,1.61692,-1.74573,-0.0128315
149.281,-3.07071,-0.59214,68.9544,1.69487,1.49169,82.1247,-0.727586,3.05594,2.08383,0.0128315
402.234,-1.80781,-1.82915,121.386,2.07934,-0.817908,176.08,-0.600301,1.58399,1.01124,0.0128315
202.393,-2.26613,-2.66997,33.3243,2.19006,1.14489,91.0449,-1.74841,0.313887,-2.46832,-0.0128315
158.77,-2.89824,2.33262,72.1953,2.58773,-2.42043,109.809,-1.14591,-0.42631,1.53014,0.0128315
125.371,-3.39316,-1.93,42.6903,1.08559,1.95219,41.3713,-2.45364,0.516032,-2.401,-0.0128315
302.587,2.12644,-3.12965,35.6151,-2.76185,0.192163,222.577,1.12463,-0.0449572,2.96138,0.0128315
131.432,1.81285,-1.47047,110.883,-2.77495,0.0881781,177.092,1.03286,2.36668,-1.55865,-0.0128315
75.577,-1.61103,-1.14297,67.9355,4.3151,-1.14697,77.1152,1.17186,2.32236,-0.0039984,-0.0128315
195.223,-2.82442,2.75824,81.001,3.79371,1.35864,105.128,1.75342,-0.904728,-1.3996,-0.0128315
152.654,3.75644,2.82272,64.6484,-1.89564,2.73704,102.923,1.0167,-0.220064,0.0856757,0.0128315
236.324,-1.46876,1.27002,142.717,1.93267,-2.23185,98.815,0.249484,-2.73044,2.78132,-0.0128315
173.935,2.56034,-1.99932,37.3327,-1.90673,0.460705,115.582,0.677515,1.64761,-2.46003,-0.0128315
127.198,-2.34296,1.2114,75.4403,3.70338,-1.49187,35.734,1.63423,3.05053,-2.70327,-0.0128315
122.144,1.69096,-0.35074,109.17,-3.2051,1.65152,118.664,-0.12041,-1.56638,-2.00226,-0.0128315
181.665,1.64675,-2.7712,95.3304,-2.16383,-1.21666,104.231,-0.919196,1.26672,-1.55454,-0.0128315
355.017,-0.192202,-0.230038,37.3651,4.74067,1.75262,164.843,1.84128,2.77411,1.98266,0.0128315
161.285,-0.388488,-0.592092,125.844,3.14019,-2.33215,137.711,1.15286,1.93957,-1.74006,-0.0128315
140.394,-2.60917,0.213311,43.4382,2.06399,1.90834,152.872,-1.5552,-2.73374,1.69503,0.0128315
